"ID","Title","Description","Acceptance","Test_Method","Tools","Dev_Status","Review1_Status","Regression_Status","Files","Dependencies","Notes"
"SEC-0001","ProxyEndpoint 密码 write-only + 全链路脱敏","将 ProxyEndpoint.password 改为 write-only（只允许更新，不允许读取/回显）；Admin API/自定义页面/日志/审计均不得返回明文 password；probe/test 等动作不得拼接/返回含密码的 URI。","1) Admin API: GET /admin/api/resources/ProxyEndpoint/records/:id/edit 不再包含 record.params.password；2) Admin UI: edit 页密码字段不回显且 type=password（仅占位，留空=不修改）；3) 任何返回/日志/审计不含 password 明文；4) redaction tests 通过。","npx vitest run test/admin_audit_redaction.test.ts test/admin_proxy_endpoint_writeonly.test.ts test/admin_proxy_probe_action.test.ts|Chrome MCP（线上）复验：/admin/resources/ProxyEndpoint/records/1/edit 不回显 + input.type=password；并抓取 /admin/api/resources/ProxyEndpoint/records/1/edit 不含 password","chrome-devtools","DONE","DONE","TODO","src/admin/resources/proxyEndpoints.ts | src/audit/adminAudit.ts | src/admin/adminJs.ts | test/admin_audit_redaction.test.ts | test/admin_proxy_endpoint_writeonly.test.ts","none","severity=High | scope=security,admin | expected=密码 write-only，任何面不返回明文 | actual=prod: edit 页 input.type=text 且非空；Admin API 返回 record.params.password（len=18） | evidence=docs/review/network/2026-02-09_05-56-38/admin-B1-proxyEndpoint-password-visible.summary.txt; screenshot(masked)=docs/review/screenshots/2026-02-09_05-56-38/admin-B1-proxyEndpoint-1-edit-password-visible-masked.png | root_cause_hypothesis=线上版本缺失 write-only/脱敏实现或部署产物未更新 | fix_plan=按资源钩子 sanitizeActionResponse + before(edit) 处理占位符 + properties.password.type=password；补充/加严脱敏测试 | tests_needed=vitest(redaction/writeonly/probe) + Chrome MCP 复验 | evidence_doc=docs/review/fixes/2026-02-09_05-56-38/SEC-0001.md | evidence_tests=npx vitest run test/admin_audit_redaction.test.ts test/admin_proxy_endpoint_writeonly.test.ts test/admin_proxy_probe_action.test.ts (pass) | fix_commit=4ad2846 | done_at:2026-02-09 | validation_limited:prod_redeploy_required | manual_test:deploy 后 Chrome MCP 打开 /admin/resources/ProxyEndpoint/records/1/edit（密码不回显且 input.type=password），并抓取 /admin/api/resources/ProxyEndpoint/records/1/edit（不含 record.params.password）；触发 probe 确认 notice/network 不含明文 | risk_notes=high(安全止血) | blocked_if_any=blocked:prod_redeploy_required"
"DEP-0001","暴露 build/version/commit 并修复部署一致性","为 /healthz（或 /version）暴露 version/commit/build_time；Admin Dashboard 显示同信息；发布流程增加一致性校验，避免 stale dist/旧构建/多入口不一致导致“线上行为与仓库不一致”。","1) /healthz 返回 build.version/commit/build_time（不含敏感信息）；2) /version 返回同信息；3) Admin Dashboard 显示 build 信息；4) 文档补充发布校验步骤；5) tests 通过。","npx vitest run test/healthz.test.ts test/smoke.test.ts|curl https://i.mukyu.ru/healthz 与 /version 校验包含 build 字段（脱敏）","manual","DONE","DONE","TODO","src/routes/healthz.ts | src/utils/buildInfo.ts | src/routes/version.ts | src/admin/pages/dashboard.jsx | docs/deployment/security-checklist.md | test/healthz.test.ts","none","severity=High | scope=deploy,observability | expected=线上可追溯运行版本并能对齐仓库 commit | actual=prod: /healthz 无 build 字段；/version 404；Admin actions bundle/行为与仓库不一致 | evidence=docs/review/network/2026-02-09_05-56-38/api-E1-healthz.body.txt; docs/review/network/2026-02-09_05-56-38/api-E2-version.headers.txt | root_cause_hypothesis=生产未构建/未更新 dist 或未拉取最新分支 | fix_plan=统一 build-info 生成与输出；发布流程增加“healthz/version 对齐 commit”检查 | tests_needed=vitest(healthz/smoke) + curl 复验 | evidence_doc=docs/review/fixes/2026-02-09_05-56-38/DEP-0001.md | evidence_tests=npx vitest run test/healthz.test.ts test/smoke.test.ts (pass) | fix_commit=b543282 | done_at:2026-02-09 | validation_limited:prod_redeploy_required | manual_test:deploy 后 curl https://i.mukyu.ru/healthz 与 /version（需包含 build.version/commit/build_time，且 commit 应与仓库一致；不含敏感信息）；Admin Dashboard 显示同 build 信息 | done_criteria=Acceptance 全通过且可追溯 commit | risk_notes=medium(涉及发布流程) | blocked_if_any=blocked:prod_redeploy_required"
"ADM-0001","修复 AdminJS action deep link not found（hydrateMetadata/testRefresh 等）","确保关键 record/resource actions（Image.hydrateMetadata、PixivToken.testRefresh、TokenProxyBinding.rebindPrimary 等）可从 Admin UI 打开深链；根因必须可证明（资源注册/动作注册/组件 bundle 缺失/部署不一致）。","1) 深链 /admin/resources/Image/records/1/hydrateMetadata 不再显示 not found；2) 深链 /admin/resources/PixivToken/records/1/testRefresh 不再显示 not found；3) /admin/resources/TokenProxyBinding/actions/rebindPrimary 不再 not found；4) components.bundle.js 包含 RecordActionRunner。","npx vitest run test/admin_action_component_contract.test.ts test/admin_components_bundle_route.test.ts|Chrome MCP（线上）复验深链可打开","chrome-devtools","DONE","DONE","TODO","src/admin/adminJs.ts | src/admin/components/recordActionRunner.jsx | src/admin/resources/images.ts | src/admin/resources/pixivTokens.ts | test/admin_action_component_contract.test.ts | test/admin_components_bundle_route.test.ts","DEP-0001","severity=High | scope=admin,deploy | expected=自定义 actions 深链可打开并渲染组件 | actual=prod: deep link not found（A1/A2）；components.bundle.js 缺少 RecordActionRunner | evidence=docs/review/network/2026-02-09_05-56-38/admin-A1-image-hydrateMetadata-deeplink-notfound.summary.txt; docs/review/network/2026-02-09_05-56-38/admin-A2-pixivToken-testRefresh-deeplink-notfound.summary.txt; docs/review/network/2026-02-09_05-56-38/admin-A0-components-bundle-missing-recordActionRunner.summary.txt | root_cause_hypothesis=AdminJS components bundle 未包含 RecordActionRunner（线上构建/部署不一致） | fix_plan=确保 componentLoader.add('RecordActionRunner', ...) 生效且 build 复制 dist/src/admin/components；补 bundle route 测试；部署后复验 | tests_needed=vitest(components bundle contract) + Chrome MCP 深链 | evidence_doc=docs/review/fixes/2026-02-09_05-56-38/ADM-0001.md | evidence_tests=npx vitest run test/admin_action_component_contract.test.ts test/admin_components_bundle_route.test.ts (pass) | fix_commit=7628caf | done_at:2026-02-09 | validation_limited:prod_redeploy_required | manual_test:deploy 后 Chrome MCP 打开 /admin/resources/Image/records/1/hydrateMetadata 与 /admin/resources/PixivToken/records/1/testRefresh（不再 not found）；并确认 components.bundle.js 包含 RecordActionRunner（可用 bundle 摘要或 DevTools 搜索） | done_criteria=Acceptance 1-4 全通过 | risk_notes=medium(需部署验证) | blocked_if_any=blocked:prod_redeploy_required"
"ADM-0002","Admin actions 504：长耗时动作异步化 + 可解释 job 反馈","将 testRefresh/hydrateMetadata/probe 等外部依赖动作改为异步 job（立即返回 jobId）；入队超时必须 < Cloudflare 超时预算；失败可解释（timeout/blocked/上游限流等），避免 504。","1) POST /admin/api/.../hydrateMetadata/testRefresh/probe 响应<10s 且不再 504；2) 返回 notice(jobId)；3) /admin/pages/adminJobs 可查状态/取消/重试；4) 不泄露敏感信息。","npx vitest run test/admin_action_component_contract.test.ts test/pixivTokenResource.test.ts test/admin_proxy_probe_action.test.ts|Chrome MCP（线上）触发动作并观察 jobId/状态","chrome-devtools","DONE","DONE","TODO","src/jobs/adminActions.ts | src/admin/pages/adminJobs.jsx | src/admin/resources/images.ts | src/admin/resources/pixivTokens.ts | src/admin/resources/proxyEndpoints.ts | test/admin_action_component_contract.test.ts","ADM-0001","severity=High | scope=admin,queue,observability | expected=动作立即返回 + 可恢复（job 化） | actual=prod: POST /admin/api/resources/Image/records/1/hydrateMetadata -> 504 | evidence=docs/review/network/2026-02-09_05-56-38/admin-A3-image-hydrateMetadata-post-504.summary.txt | root_cause_hypothesis=线上未启用 job 化/timeout guard（或部署旧版本）导致同步阻塞 | fix_plan=入队 timeout(<=5s) + 返回 jobId；完善 adminJobs 状态页；部署后复验不 504 | tests_needed=vitest + Chrome MCP | evidence_doc=docs/review/fixes/2026-02-09_05-56-38/ADM-0002.md | evidence_tests=npx vitest run test/admin_action_component_contract.test.ts test/pixivTokenResource.test.ts test/admin_proxy_probe_action.test.ts (pass) | fix_commit=15ea24a | done_at:2026-02-09 | validation_limited:prod_redeploy_required | manual_test:deploy 后 Chrome MCP 触发 Image.hydrateMetadata / PixivToken.testRefresh / ProxyEndpoint.probe：应 <10s 返回 success notice 且包含 jobId；进入 /admin/pages/adminJobs 可查看状态、取消/重试；不得出现 504 或敏感泄露 | risk_notes=medium(依赖 queue/DB) | blocked_if_any=blocked:prod_redeploy_required"
"ADM-0003","修复 TokenProxyBinding 资源 list/show 500 并统一资源页 vs 自定义页","修复 /admin/resources/TokenProxyBinding list API 500，使资源 CRUD/list/show 可用；并与 /admin/pages/tokenProxyBindings 统一能力与错误语义，避免“页面可用但资源页 500”的假可用。","1) GET /admin/api/resources/TokenProxyBinding/actions/list 返回 200；2) 资源页 list/show 可用；3) 自定义页与资源页数据一致或明确跳转策略；4) tests 覆盖。","npx vitest run test/admin_token_proxy_binding_resource.test.ts|Chrome MCP（线上）打开资源页 list/show","chrome-devtools","DONE","DONE","TODO","src/admin/adminJs.ts | src/admin/utils/filterValue.ts | test/admin_token_proxy_binding_resource.test.ts","none","severity=High | scope=admin,data | expected=资源页可用且语义一致 | actual=prod: GET /admin/api/resources/TokenProxyBinding/actions/list -> 500 | evidence=docs/review/network/2026-02-09_05-56-38/admin-C1-tokenProxyBinding-resource-list-500.summary.txt; screenshot=docs/review/screenshots/2026-02-09_05-56-38/admin-C1-tokenProxyBinding-resource-list-500.png | root_cause_hypothesis=AdminJS filter payload 空值/包装对象误判为有效，导致 Prisma where 注入非法值触发 500（线上可能仍是旧实现） | fix_plan=hasEffectiveFilterValue 递归判空 + convertParam 解包 {id,value,from,to}；补针对性测试 | tests_needed=vitest + Chrome MCP | evidence_doc=docs/review/fixes/2026-02-09_05-56-38/ADM-0003.md | evidence_tests=npx vitest run test/admin_token_proxy_binding_resource.test.ts (pass) | fix_commit=506b962 | done_at:2026-02-09 | validation_limited:prod_redeploy_required | manual_test:deploy 后 Chrome MCP 打开 /admin/resources/TokenProxyBinding（list/show 不再 500）；并确认 /admin/pages/tokenProxyBindings 与资源页语义一致或可互相深链 | risk_notes=medium | blocked_if_any=blocked:prod_redeploy_required"
"API-0001","min_* 超 int4 上限：入口校验 400 + 查询 bigint cast","在 /random 与 /images 入口对 min_width/min_height/min_pixels 做 int4 上限校验（<=2147483647）；超界返回结构化 400；同时 raw SQL 对像素判断使用 bigint cast 防溢出。","1) min_* 超界返回 400 BAD_REQUEST（含 code/message/request_id）；2) 边界值 2147483647 可进入筛选逻辑（不 500）；3) 契约测试覆盖（边界/超界/非法）。","npx vitest run test/random_filter_min_width.test.ts test/random_filter_min_height.test.ts test/random_filter_min_pixels.test.ts test/images_param_min_int4.test.ts|curl（线上）/random?format=json&min_width=2147483648 => 400；/images?limit=1&min_width=2147483648 => 400","manual","DONE","DONE","TODO","src/routes/random.ts | src/routes/images.ts | src/repositories/imagesRepo.ts | test/random_filter_min_width.test.ts | test/images_param_min_int4.test.ts","none","severity=High | scope=api | expected=入口校验失败返回 400（不触发 Prisma P2020） | actual=prod: /random 与 /images 超界触发 500 code=P2020 | evidence=docs/review/network/2026-02-09_05-56-38/api-D1-random-min_width-int4over.body.txt; docs/review/network/2026-02-09_05-56-38/api-D2-images-min_width-int4over.body.txt | root_cause_hypothesis=入口未做 int4 上限校验或查询层未 cast（线上旧版本） | fix_plan=入口加 PG_INT4_MAX 校验 + SQL bigint cast；补测试 | tests_needed=vitest + curl 复验 | evidence_doc=docs/review/fixes/2026-02-09_05-56-38/API-0001.md | evidence_tests=npx vitest run test/random_filter_min_width.test.ts test/random_filter_min_height.test.ts test/random_filter_min_pixels.test.ts test/images_param_min_int4.test.ts (pass) | fix_commit=e3a687c | done_at:2026-02-09 | validation_limited:prod_redeploy_required | manual_test:deploy 后 curl（线上）/random?format=json&min_width=2147483648 与 /images?limit=1&min_width=2147483648：应返回 400 BAD_REQUEST（含 code/message/request_id），不再 500/P2020 | risk_notes=low | blocked_if_any=blocked:prod_redeploy_required"
"DATA-0001","打通元信息补全闭环：width/height/tags/authors/xRestrict 覆盖率提升","修复/增强 hydrate_metadata/backfill：确保导入后可批量补全元信息（tags/authors/尺寸/分级等）；提供覆盖率统计与可解释 NO_MATCH；使 /authors 不为空、/random 强筛选可用。","1) /random?format=json 抽样 width/height/tags/author 覆盖率显著提升（可量化）；2) /authors?limit=1 不再恒为空（对已补全数据）；3) Admin 可触发批量补全并可观察进度/失败原因；4) 不泄露 refresh_token/proxy 密码。","npx vitest run test/job_hydrate_metadata.test.ts|Chrome MCP：触发 hydrate/backfill 并在 hydrationOps 查看进度|curl（线上）/authors?limit=1 返回非空","chrome-devtools","TODO","TODO","TODO","src/jobs/hydrateMetadata.ts | src/admin/pages/hydrationOps.jsx | src/routes/authors.ts | src/routes/random.ts | test/job_hydrate_metadata.test.ts","ADM-0002","severity=High | scope=data,admin | expected=补全后 tags/authors/尺寸可筛选 | actual=prod: /random 返回 width/height null, tags=[]; author null；/authors items=[] | evidence=docs/review/network/2026-02-09_05-56-38/api-E6-random-json-sample.body.txt; docs/review/network/2026-02-09_05-56-38/api-E5-authors-limit1.body.txt | root_cause_hypothesis=补全管线未跑通/长任务不可用（受 ADM-0002 影响） | fix_plan=修复 actions/job → 启动 backfill → 增加覆盖率统计与 NO_MATCH hints | tests_needed=vitest(job) + Chrome MCP + curl | done_criteria=Acceptance 1-3 达标且可追溯 | risk_notes=medium(受上游限流影响) | blocked_if_any=blocked:pixiv_upstream_rate_limit"
"SEC-0002","/metrics 开启 basic auth（或默认关闭）","当 METRICS_ENABLED=true 时，若配置了 METRICS_BASIC_AUTH_USER/PASS 则必须鉴权；未配置时默认关闭或要求显式允许匿名；对外暴露必须有明确安全默认值与文档。","1) 未鉴权访问 /metrics 返回 401+WWW-Authenticate（当配置 basic auth 时）；2) 未配置凭据时默认 404/401（按策略）而不是 200；3) 文档更新；4) tests 通过。","npx vitest run test/metrics.test.ts|curl -I https://i.mukyu.ru/metrics 验证 401/404（按策略）","manual","DONE","DONE","TODO","src/routes/metrics.ts | src/config/env.ts | docs/deployment/security-checklist.md | test/metrics.test.ts","none","severity=Medium | scope=security,observability | expected=/metrics 不裸奔 | actual=prod: /metrics 200 OK（匿名） | evidence=docs/review/network/2026-02-09_05-56-38/api-E3-metrics.head.txt | root_cause_hypothesis=metrics 路由未启用保护/默认允许匿名 | fix_plan=默认保护（未配置则 404/401）；配置 basic auth 则强制鉴权；补测试与部署清单 | tests_needed=vitest + curl | evidence_doc=docs/review/fixes/2026-02-09_05-56-38/SEC-0002.md | evidence_tests=npx vitest run test/metrics.test.ts (pass) | fix_commit=7bd1b0c | done_at:2026-02-09 | validation_limited:prod_redeploy_required | manual_test:deploy 后 curl -I https://i.mukyu.ru/metrics（未鉴权应 401/404，按部署策略；如配置 basic auth 则必须 401+WWW-Authenticate） | done_criteria=线上匿名不再 200 | risk_notes=low | blocked_if_any=blocked:prod_redeploy_required"
"UX-0001","easy_proxies 导入 blocked 语义清晰 + 防误操作","当 EASY_PROXIES_BASE_URL 未配置或外部依赖不可达时，easy_proxies 导入页必须明确 blocked 原因并禁用提交；在 ready 状态才允许导入，并提供 imported/invalid/conflicts 统计与逐行错误定位。","1) blocked/ready 两态语义清晰；2) blocked 时 UI 禁用提交且后端拒绝写操作（可解释 notice）；3) 多行/@/%40/非法/空行/超长行覆盖；4) tests 通过。","npx vitest run test/admin_easy_proxies_blocked.test.ts test/easyProxiesImporter.test.ts test/easyProxiesNodes.test.ts|Chrome MCP：/admin/pages/easyProxiesImport blocked/ready 两态","chrome-devtools","DONE","DONE","TODO","src/admin/pages/easyProxiesImport.jsx | src/admin/resources/proxyEndpoints.ts | src/proxy/easyProxiesImporter.ts | test/admin_easy_proxies_blocked.test.ts | test/easyProxiesImporter.test.ts","none","severity=Medium | scope=ux,admin,deploy | expected=blocked 可解释且不可误操作 | actual=prod 仍需部署复验；local 已实现：baseUrl 缺失时禁用“立即导入/刷新”并提示；后端 action 返回明确 error notice | evidence=docs/review/2026-02-08_04-48-29-admin-deep-audit.md（ADM-007） | root_cause_hypothesis=缺少 baseUrl 时仍可触发导入导致误操作心智负担 | fix_plan=前端禁用按钮 + callout；后端继续强校验 baseUrl（已存在）并补测试 | tests_needed=vitest + Chrome MCP | evidence_tests=npx vitest run test/admin_easy_proxies_blocked.test.ts test/easyProxiesImporter.test.ts test/easyProxiesNodes.test.ts (pass) | done_criteria=Acceptance(除线上复验)达标 | done_at:2026-02-09 | validation_limited:prod_redeploy_required | manual_test:deploy 后 Chrome MCP 打开 /admin/pages/easyProxiesImport：1) baseUrl 为空时按钮禁用且提示；2) 保存 baseUrl 后按钮启用并可导入；3) 导入结果展示 imported/invalid/conflicts | risk_notes=medium | blocked_if_any=blocked:prod_redeploy_required"
"DATA-0002","大量 URL 导入健壮性 + 审计可回滚","导入支持多行/非法/重复/空行/超长行；导入过程可审计、可回滚（按 import_id 软回滚或标记禁用），并保证不会阻塞主线程（异步 job）。","1) 预览逐行定位错误；2) 提交异步执行并返回 import_id；3) 支持对某次导入回滚（禁用/删除本次新增）并写入 AdminAudit；4) tests 覆盖超长行/重复/空行/非法行。","npx vitest run test/admin_import.test.ts test/imports_repo.test.ts|Chrome MCP：/admin/pages/importUrls preview+import+rollback","chrome-devtools","TODO","TODO","TODO","src/admin/pages/importUrls.jsx | src/repositories/importsRepo.ts | src/jobs/* | test/admin_import.test.ts","ADM-0002","severity=Medium | scope=data,admin | expected=大批量导入可控可回滚 | actual=需复核并补齐回滚闭环 | evidence=docs/usage/handbook.md（导入章节） | root_cause_hypothesis=导入链路缺少批次审计/回滚动作 | fix_plan=导入批次表+rollback action/job+审计 | tests_needed=vitest + Chrome MCP | done_criteria=Acceptance 全通过 | risk_notes=medium | blocked_if_any=none"
"ADM-0004","补齐 ProxyPool 资源（至少只读 list/show）并统一入口","Admin 导航中补齐 ProxyPool 资源（至少 list/show），与 proxyPoolOverview 页面互相深链跳转；避免“只能看概览不能管理/审计”。","1) /admin/resources/ProxyPool 可访问（list/show）；2) 与 /admin/pages/proxyPoolOverview 跳转一致；3) 文档更新；4) tests 通过。","npx vitest run test/proxyPool.test.ts test/admin_resource_route_compat.test.ts|Chrome MCP：资源页可打开","chrome-devtools","TODO","TODO","TODO","src/admin/resources/proxyPools.ts | src/admin/adminJs.ts | src/admin/pages/proxyPoolOverview.jsx | test/proxyPool.test.ts","none","severity=Medium | scope=admin,ux | expected=ProxyPool 可管理/可审计 | actual=prod: 资源导航缺失（仅有 Proxy Pool Overview 页面） | evidence=Chrome MCP nav snapshot（本轮 tokenProxyBindings 页面侧边栏无 ProxyPool 资源） | root_cause_hypothesis=资源未注册/部署旧版本 | fix_plan=注册 ProxyPool 资源（只读）+ 页面互链 | tests_needed=vitest + Chrome MCP | done_criteria=Acceptance 全通过 | risk_notes=low | blocked_if_any=blocked:prod_redeploy_required"
"ADM-0005","HydrationOps/长任务观测：卡住/降级无解释的收敛","为 hydrationOps/proxyPoolOverview 等页面/API 增加超时、stale-cache/fallback、明确 blocked 原因与恢复入口，避免长期 pending 或空白页。","1) 页面/API 外部依赖慢/失败时<10s返回（含 stale/fallback 标记）；2) UI 提示下一步（重试/查看日志/配置缺失）；3) tests 覆盖超时分支。","npx vitest run test/admin_proxy_pool_overview_handler.test.ts test/hydrationOps_accessibility_markup.test.ts|Chrome MCP：页面不再卡死","chrome-devtools","DONE","DONE","TODO","src/admin/adminJs.ts | src/admin/pages/hydrationOps.jsx | src/admin/pages/proxyPoolOverview.jsx | test/admin_proxy_pool_overview_handler.test.ts","none","severity=Medium | scope=admin,observability | expected=可解释可恢复 | actual=需复核线上（上一轮存在卡住/无解释降级） | evidence=docs/review/2026-02-08_04-48-29-admin-deep-audit.md（ADM-006） | root_cause_hypothesis=查询/外部调用无 timeout + UI 无错误态 | fix_plan=timeout+fallback+提示 | tests_needed=vitest + Chrome MCP | evidence_tests=npx vitest run test/admin_proxy_pool_overview_handler.test.ts test/hydrationOps_accessibility_markup.test.ts (pass) | done_criteria=Acceptance 全通过 | done_at:2026-02-09 | validation_limited:prod_redeploy_required | manual_test:deploy 后 Chrome MCP 打开 /admin/pages/hydrationOps 与 /admin/pages/proxyPoolOverview，确认<10s返回且出现 timeout/error/stale 提示（不泄露敏感） | risk_notes=medium | blocked_if_any=blocked:prod_redeploy_required"
"REG-0001","本轮全量回归（真实站点 + 本地 tests）并更新最终总报告","完成全部 issues 后：运行 lint+全量 vitest+smoke；用 Chrome MCP 对 /admin/pages/* 与 /admin/resources/* 做全覆盖巡检并逐个触发 actions；更新本轮 docs/review 文档与根报告 最详细页面和功能实现问题.md。","1) npm run test:all 通过；2) Chrome MCP 全覆盖 pages/resources/actions（截图+network/console 脱敏摘要）；3) 更新 docs/review/2026-02-09_05-56-38-*.md 与 最详细页面和功能实现问题.md；4) High/Medium 全关闭或明确 blocked。","npm run test:all|pwsh test/run-regression.ps1|Chrome MCP 全覆盖巡检","chrome-devtools","TODO","TODO","TODO","docs/review/2026-02-09_05-56-38-admin-deep-audit.md | docs/review/2026-02-09_05-56-38-api-contract-audit.md | 最详细页面和功能实现问题.md | test/run-regression.ps1","SEC-0001|ADM-0002|API-0001|DATA-0001","severity=High | scope=regression,audit | expected=证明达标且可追溯 | actual=当前仍存在 High（A/B/C/D） | evidence=docs/review/2026-02-09_05-56-38-admin-deep-audit.md; docs/review/2026-02-09_05-56-38-api-contract-audit.md | fix_plan=按 CSV 逐条闭环后执行全量回归并回写报告 | tests_needed=test:all + Chrome MCP 全覆盖 | done_criteria=Acceptance 全通过 | risk_notes=high | blocked_if_any=blocked:prod_redeploy_required"
